x,y,z
1.337458363462560484e+01,5.301219592738540265e-02,0.000000000000000000e+00
1.325453750889913174e+01,1.140272917184253776e-01,-3.144529237642312847e-01
1.292659047250877080e+01,1.602433491326651638e-01,-5.712499831843607101e-01
1.247180525371133797e+01,1.860605359150131755e-01,-7.360304942646841431e-01
1.199754036804441171e+01,1.939018612928309626e-01,-8.124762857769620705e-01
1.160543897867434282e+01,1.938382807583997336e-01,-8.429514737519220313e-01
1.136213917967000064e+01,2.003131732381219776e-01,-8.944277609793618300e-01
1.128185893178087440e+01,2.270323372659117378e-01,-1.034306283931567316e+00
1.132600484723180045e+01,2.817598686025550303e-01,-1.304432004311337101e+00
1.141932366353134043e+01,3.628453334907982275e-01,-1.702464002014752564e+00
1.147673984819518012e+01,4.587667420001040886e-01,-2.177483070535377152e+00
1.143168356263513274e+01,5.509827695533334735e-01,-2.642025788756586113e+00
1.125649563391514008e+01,6.192766289594754392e-01,-2.997197015243847851e+00
1.096843014922235326e+01,6.479167688375573331e-01,-3.162996909748963414e+00
1.061983170316222136e+01,6.306477350553636452e-01,-3.104042549531248696e+00
1.027650807210503991e+01,5.728687303001702702e-01,-2.842157401990774268e+00
9.992298549564219812e+00,4.902492369692849072e-01,-2.451447811664000831e+00
9.789011901049073927e+00,4.041784484359353113e-01,-2.037129438813213955e+00
9.648896768215710296e+00,3.354695785643047601e-01,-1.704645309182276858e+00
9.522319860029970329e+00,2.983026362308291435e-01,-1.528781674098512511e+00
9.347916045008856756e+00,2.963042495331763004e-01,-1.532487901188059887e+00
9.078006845538842740e+00,3.219599378471323936e-01,-1.681942118336861025e+00
8.700105865321129173e+00,3.594672475797475730e-01,-1.899125652553002253e+00
8.246538853756337772e+00,3.900282292134191753e-01,-2.087525566564204738e+00
7.788211603690520235e+00,3.978133486146283038e-01,-2.162438738393737125e+00
7.414010728050361543e+00,3.746558961835929069e-01,-2.076057772463047346e+00
7.202366462010222570e+00,3.220064752878700198e-01,-1.829475102943763698e+00
7.194412202227367104e+00,2.496261190674483599e-01,-1.468257524083364851e+00
7.377923093201145477e+00,1.716002533804577568e-01,-1.063780639885974821e+00
7.687847241701300405e+00,1.011414085867791968e-01,-6.872049793654008143e-01
8.023853368333007552e+00,4.602038448595609232e-02,-3.852575027821658060e-01
8.279693760582423678e+00,6.203712553823188813e-03,-1.661148845686984399e-01
8.375200472217301240e+00,-2.552439063170404421e-02,-1.951402515290216363e-16
8.280737491184449794e+00,-6.023677622310626145e-02,1.661148845686980513e-01
8.026274012613971109e+00,-1.080699419546019419e-01,3.852575027821651399e-01
7.692165077930669170e+00,-1.737179746498540012e-01,6.872049793654000371e-01
7.384607024087738836e+00,-2.538770050179572357e-01,1.063780639885973711e+00
7.203637536329843272e+00,-3.376285860349086954e-01,1.468257524083363519e+00
7.213861393096887120e+00,-4.097233775811449097e-01,1.829475102943763254e+00
7.427054983743154537e+00,-4.556989121150235578e-01,2.076057772463046902e+00
7.801798606999268415e+00,-4.670910041896453868e-01,2.162438738393737125e+00
8.259655163724529459e+00,-4.449133194441506900e-01,2.087525566564205626e+00
8.712038423717734403e+00,-4.001205336840333304e-01,1.899125652553002475e+00
9.088574799544300475e+00,-3.507615748996099625e-01,1.681942118336861469e+00
9.357544950473029033e+00,-3.166404932815908291e-01,1.532487901188060331e+00
9.531925478582548905e+00,-3.131597376801086297e-01,1.528781674098512289e+00
9.659607370576313912e+00,-3.463324636032761861e-01,1.704645309182275525e+00
9.801811562807847267e+00,-4.106063071146589527e-01,2.037129438813215732e+00
1.000770145043578019e+01,-4.902492369692844632e-01,2.451447811663998610e+00
1.029436587373391454e+01,-5.639007257273596085e-01,2.842157401990774268e+00
1.063933497770229408e+01,-6.108671641706147071e-01,3.104042549531248696e+00
1.098830384493233936e+01,-6.171779349228920797e-01,3.162996909748963414e+00
1.127532757816404008e+01,-5.795035716865492015e-01,2.997197015243847407e+00
1.144828390025223364e+01,-5.057406253549965314e-01,2.642025788756587001e+00
1.149042137783059658e+01,-4.121548487139951589e-01,2.177483070535378928e+00
1.143002056033479974e+01,-3.180842575730831179e-01,1.702464002014752564e+00
1.133420083523550481e+01,-2.399700183232195139e-01,1.304432004311338433e+00
1.128835766982719591e+01,-1.866561484341356381e-01,1.034306283931568649e+00
1.136775903503611929e+01,-1.574285051756941223e-01,8.944277609793619410e-01
1.161073539898888285e+01,-1.433145762942678869e-01,8.429514737519215872e-01
1.200264530710563449e+01,-1.310619231798431650e-01,8.124762857769627367e-01
1.247642986969853673e+01,-1.083274469598547174e-01,7.360304942646844761e-01
1.293017974200983922e+01,-6.823785046077308902e-02,5.712499831843619313e-01
1.325651327488952624e+01,-1.174353253055884783e-02,3.144529237642309516e-01
1.340018794540337588e+01,4.211178714031512116e-01,6.283185307179586787e-02
1.327805789593282171e+01,4.808044850628531153e-01,-2.545827257051751502e-01
1.294632841510977528e+01,5.222567305415737327e-01,-5.137984120192262694e-01
1.248690482203927488e+01,5.411071582270206015e-01,-6.801308979414459888e-01
1.200810550625561035e+01,5.415036011127295490e-01,-7.572966893154677859e-01
1.161235906976657262e+01,5.352232616464736026e-01,-7.880589059246341233e-01
1.136669419919357971e+01,5.379019957033204236e-01,-8.400200193139026883e-01
1.128524370312446834e+01,5.636000919476993332e-01,-9.812159793047491307e-01
1.132893219174900246e+01,6.195429329510802052e-01,-1.253885861730321682e+00
